Id;Created-At;Text
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;27/10/2022;"Cek kembali apakah pagar, pintu & jendela rumah sudah terkunci dengan baik sebelum beranjak istirahat malam hari ini.
https://t.co/pRzvVH3N28"
1,59E+18;27/10/2022;#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '22.00 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel menuju arah Cilandak maupun arah Jl. Panglima Polim terpantau ramai lancar. ' https://t.co/KOmqQCx7s9, see more https://t.co/oJIVLJEX4N
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;27/10/2022;"RT @TMCPoldaMetro: Cek kembali apakah pagar, pintu & jendela rumah sudah terkunci dengan baik sebelum beranjak istirahat malam hari ini.
ht…"
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;27/10/2022;@kokow_handokow @TMCPoldaMetro Pemandangan ini seperti bukan di ibukota negara
1,59E+18;27/10/2022;"RT @kokow_handokow: @BuddyACe @TMCPoldaMetro di Stasiun Tebet malah ngetem dan lawan arah, Om... aparat kalah sama preman.. 

https://t.co/…"
1,59E+18;28/10/2022;pr besar bagi Polisi ni @TMCPoldaMetro https://t.co/HvBhMZGKDx
1,59E+18;28/10/2022;00.20 #Polri Restro Jakarta Utara melaksanakan kegiatan Patroli Skala Besar di Kawasan Traffic Light Jaya Koja Jakut. https://t.co/YIoY3GJvjb
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 00.06 #Polri Restro Jakarta Utara melaksanakan kegiatan Patroli Skala Besar di Kawasan Simpang Lima Semper Jakut. https:…
1,59E+18;28/10/2022;00.06 #Polri Restro Jakarta Utara melaksanakan kegiatan Patroli Skala Besar di Kawasan Simpang Lima Semper Jakut. https://t.co/I9AUlBOOqP
1,59E+18;27/10/2022;@bovaxsholeh @BisKota_ @YoGojekYo @ahmadsahroni88 @TMCPoldaMetro @PolsekKemayoran Pantesan beberapa bulan lalu naik gojek dari term pulogebang ke st rajawali jam set 3 - jam 3, abang nya bilang kalo ga sama customer, ga bakal berani lewat daerah situ (sun
1,59E+18;27/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;"@miyarsa @bovaxsholeh @BisKota_ @YoGojekYo @ahmadsahroni88 @TMCPoldaMetro @PolsekKemayoran Semoga Sunter & sekitarnya kembali aman..

Gw di Sunter soalnya, minimal seminggu sekali pulang jam 23 ke atas dari Jkt Pusat"
1,59E+18;28/10/2022;#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '00.20 #Polri Restro Jakarta Utara melaksanakan kegiatan Patroli Skala Besar di Kawasan Traffic Light Jaya Koja Jakut. ' https://t.co/ALzEW88hPd, see more https://t.co/oJIVLJEX4N
1,59E+18;28/10/2022;Jangan jadikan jalanan yg sepi utk ajang balap liar, karena membahayakan diri sendiri & orang lain. https://t.co/TlwtKon7cM (MI
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;"RT @TMCPoldaMetro: 20.05 Polri Dit Lantas PMJ membantu kendaraan yang mengalami gangguan di Jl. Gatot Subroto.
Kami siap melayani masyaraka…"
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;"28 Oktober 2022 Motor Geber jam 0500
Portal Pesona Kalisari
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
#MotorGeber #knalpotBising #MotorBising"
1,59E+18;28/10/2022;@TMCPoldaMetro Tidak berlaku untuk emak2
1,59E+18;28/10/2022;05.28 Kecelakaan lalu lintas Sebuah Kendaraan Truk Pengangkut Tanah mengalami terguling di Tanjakan Jembatan Layang Grogol menuju arah Latumenten Jakbar, saat ini sedang dalam penanganan oleh Petugas. https://t.co/kVpTWEmpde
1,59E+18;28/10/2022;"06.25: RT @TMCPoldaMetro : Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar. 
#ElshintaNews 
https://t.co/OCxqbxaZj6"
1,59E+18;28/10/2022;"06.23: RT @TMCPoldaMetro : Kecelakaan lalu lintas Sebuah Kendaraan Truk Pengangkut Tanah mengalami terguling di Tanjakan Jembatan Layang Grogol menuju arah Latumenten Jakbar, sedang dalam penanganan oleh Petugas.  
#ElshintaNews
https://t.co/BZIXd0jFhr"
1,59E+18;28/10/2022;"LOKASI PELAYANAN #SIMKELILING Jum'at, 28 Oktober 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok & Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/hZ2IQCYDPP"
1,59E+18;28/10/2022;"05.28 Kecelakaan lalu lintas Sebuah Kendaraan Truk Pengangkut Tanah mengalami terguling di Tanjakan Jembatan Layang Grogol menuju arah Latumenten Jakbar, saat ini sedang dalam penanganan oleh Petugas.
@TMCPoldaMetro https://t.co/6DdeJ40M6Y"
1,59E+18;28/10/2022;"05.57 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar.
@TMCPoldaMetro https://t.co/UQpOW65UpM"
1,59E+18;28/10/2022;05.57 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar. https://t.co/lDN46sGPwo
1,59E+18;28/10/2022;"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: 'LOKASI PELAYANAN #SIMKELILING Jum'at, 28 Oktober 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung.
Jaksel : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok & Mall Ci… https://t.co/KiA7TAGlDB, see more https://t.co/oJIVLJEX4N"
1,59E+18;28/10/2022;"RT @SonoraFM92: 06.49 #InfoSonora

LOKASI PELAYANAN #SIMKELILING 
DKI JAKARTA
Jum'at, 28 Oktober 2022
Pukul 08.00 s/d 14.00 Wib :
Jaktim :…"
1,59E+18;28/10/2022;"06.50 #InfoSonora

Lokasi Pelayanan STNK Keliling/Samling Wilayah JADETABEK
Jumat, 28 Oktober 2022.

Via @TMCPoldaMetro https://t.co/ZVuOSDhnNH"
